ID,中文,英文,分类,字段类型,来源文件
2290097,[能手册]潜龙出渊,[Mastery Book] Dragon Strike,consume,name,String.wz\Consume.img.xml
2290098,50%的可能性可以使#c潜龙出渊#等\n级上升至30\n职业：冲锋队长\n条件：#c技巧等级15以上#,This increases the master level of #cDragon Strike# to 30 with a 50% chance of success.\nJob: Buccaneer\nCondition: At least level 15 in this skill,consume,desc,String.wz\Consume.img.xml
2290099,[能手册]超能量,[Mastery Book] Energy Orb,consume,name,String.wz\Consume.img.xml
2290100,50%的可能性可以使#c超能量#等级\n上升至30\n职业：冲锋队长\n条件：#c技巧等级15以上#,This increases the master level of #cEnergy Orb# to 30 with a 50% chance of success.\nJob: Buccaneer\nCondition: At least level 15 in this skill,consume,desc,String.wz\Consume.img.xml
2290101,[能手册]超级变身,[Mastery Book] Super Transformation,consume,name,String.wz\Consume.img.xml
2290102,[能手册]金手指,[Mastery Book] Demolition,consume,name,String.wz\Consume.img.xml
2290103,50%的可能性可以使#c金手指#等级\n上升至30\n职业：冲锋队长\n条件：#c技巧等级15以上#,This increases the master level of #cDemolition# to 30 with a 50% chance of success.\nJob: Buccaneer\nCondition: At least level 15 in this skill,consume,desc,String.wz\Consume.img.xml
2290104,[能手册]索命,[Mastery Book] Snatch,consume,name,String.wz\Consume.img.xml
2290105,50%的可能性可以使#c索命#等级上\n升至30\n职业：冲锋队长\n条件：#c技巧等级15以上#,This increases the master level of #cSnatch# to 30 with a 50% chance of success.\nJob: Buccaneer\nCondition: At least level 15 in this skill,consume,desc,String.wz\Consume.img.xml
2290106,[能手册]光速拳,[Mastery Book] Barrage,consume,name,String.wz\Consume.img.xml
2290107,50%的可能性可以使#c光速拳#等级\n上升至30\n职业：冲锋队长\n条件：#c技巧等级15以上#,This increases the master level of #cBarrage# to 30 with a 50% chance of success.\nJob: Buccaneer\nCondition: At least level 15 in this skill,consume,desc,String.wz\Consume.img.xml
2290108,[能手册]极速领域,[Mastery Book] Speed Infusion,consume,name,String.wz\Consume.img.xml
2290110,[能手册]伺机待发,[Mastery Book] Time Leap,consume,name,String.wz\Consume.img.xml
2290111,50%的可能性可以使#c伺机待发#等\n级上升至30\n职业：冲锋队长\n条件：#c技巧等级15以上#,This increases the master level of #cTime Leap# to 30 with a 50% chance of success.\nJob: Buccaneer\nCondition: At least level 15 in this skill,consume,desc,String.wz\Consume.img.xml
2290112,[能手册]属性强化,[Mastery Book] Elemental Boost,consume,name,String.wz\Consume.img.xml
2290113,50%的可能性可以使#c属性强化#等\n级上升至30\n职业：船长\n条件：#c技巧等级15以上#,This increases the master level of #cElemental Boost# to 30 with a 50% chance of success.\nJob: Corsair\nCondition: At least level 15 in this skill,consume,desc,String.wz\Consume.img.xml
2290114,[能手册]超级章鱼炮台,[Mastery Book] Wrath of the Octopi,consume,name,String.wz\Consume.img.xml
2290115,[能手册]地毯式空袭,[Mastery Book] Air Strike,consume,name,String.wz\Consume.img.xml
2290116,50%的可能性可以使#c地毯式空袭\n#等级上升至30\n职业：船长\n条件：#c技巧等级15以上#,This increases the master level of #cAir Strike# to 30 with a 50% chance of success.\nJob: Corsair\nCondition: At least level 15 in this skill,consume,desc,String.wz\Consume.img.xml
2290117,[能手册]金属风暴,[Mastery Book] Rapid Fire,consume,name,String.wz\Consume.img.xml
2290118,50%的可能性可以使#c金属风暴#等\n级上升至30\n职业：船长\n条件：#c技巧等级15以上#,This increases the master level of #cRapid Fire# to 30 with a 50% chance of success.\nJob: Corsair\nCondition: At least level 15 in this skill,consume,desc,String.wz\Consume.img.xml
2290119,[能手册]急速射,[Mastery Book] Battleship Cannon,consume,name,String.wz\Consume.img.xml
2290120,50%的可能性可以使#c急速射#等级\n上升至30\n职业：船长\n条件：#c技巧等级15以上#,This increases the master level of #cBattleship Cannon# to 30 with a 50% chance of success.\nJob: Corsair\nCondition: At least level 15 in this skill,consume,desc,String.wz\Consume.img.xml
2290121,[能手册]重量炮击,[Mastery Book] Battleship Torpedo,consume,name,String.wz\Consume.img.xml
2290122,50%的可能性可以使#c重量炮击#等\n级上升至30\n职业：船长\n条件：#c技巧等级15以上#,This increases the master level of #cBattleship Torpedo# to 30 with a 50% chance of success.\nJob: Corsair\nCondition: At least level 15 in this skill,consume,desc,String.wz\Consume.img.xml
2290123,[能手册]心灵控制,[Mastery Book] Hypnotize,consume,name,String.wz\Consume.img.xml
2290124,[能手册]导航辅助,[Mastery Book] Bullseye,consume,name,String.wz\Consume.img.xml
2290125,以50%概率提高#c冒险岛勇士#技能\n的能手级别到30\n职业：4转全职业\n条件：#c技能等级15级以上#,This increases the master level of #cMaple Warrior# to 30 with a 50% chance of success.\nJob: All 4th Advancement Jobs\nCondition: At least level 15 in this skill,consume,desc,String.wz\Consume.img.xml
2070019,高科技电光镖,Magic Throwing Knife,consume,name,String.wz\Consume.img.xml
2070023,火焰飞镖,Flame Throwing Stars,consume,name,String.wz\Consume.img.xml
2070024,无限飞镖,Infinite Throwing-Knives,consume,name,String.wz\Consume.img.xml
2070026,白金飞镖,White Gold Throwing Stars,consume,name,String.wz\Consume.img.xml
2049115,正向混沌卷轴50%,Scroll for Ravana Helmet of Chaos 50%,consume,name,String.wz\Consume.img.xml
2430033,神奇的北斗卫星指导书。传说是\n由该书封面上的冒险岛勇士昨日\n小睡流传下来的，据说集齐7本\n以后会有意想不到的事情发生，\n是什么呢？蹦下咔啦咔,"The magical BeiDou Satellite Manual.\nThe legend is that it was passed down by the warriors Nap,\nWho depicted on the cover of the book.\nAfter collecting all 7 copies, something unexpected will happen. What could it be?",consume,desc,String.wz\Consume.img.xml
Eqp.img,#c有5%的概率在30秒内每秒造成120点 额外伤害。 有10%的概率在5秒内发动结冰效果。##,#cHas a 5% chance to add 120 additional damage for 30 seconds.#\n#cHas a 10% chance to create a freezing effect for 5 seconds.,equipment,h1,String.wz\Eqp.img.xml
1010000,褐色落腮胡,Long Brown Beard,equipment,name,String.wz\Eqp.img.xml
1010001,黑胡子,Goatee,equipment,name,String.wz\Eqp.img.xml
1010002,忍者口罩,Ninja Mask for Men,equipment,name,String.wz\Eqp.img.xml
1010003,刮脸痕迹,5 O&apos;Clock Shadow,equipment,name,String.wz\Eqp.img.xml
1010004,加勒比海盗胡子,General&apos;s Mustache (1),equipment,name,String.wz\Eqp.img.xml
1010005,布鲁诺胡子,General&apos;s Mustache (2),equipment,name,String.wz\Eqp.img.xml
1010006,流氓伤痕,Yakuza Scar,equipment,name,String.wz\Eqp.img.xml
1011000,女忍者口罩,Ninja Mask for Women,equipment,name,String.wz\Eqp.img.xml
1011001,SF忍者口罩,SF Ninja Mask,equipment,name,String.wz\Eqp.img.xml
1011003,雀斑,Freckles,equipment,name,String.wz\Eqp.img.xml
1012000,伤痕,Battle Scar,equipment,name,String.wz\Eqp.img.xml
1012001,印度僧点,Bindi,equipment,name,String.wz\Eqp.img.xml
1012002,皮面罩,Leather Mask,equipment,name,String.wz\Eqp.img.xml
1012003,红点,Blush,equipment,name,String.wz\Eqp.img.xml
1012004,颜面伪装,Disguise,equipment,name,String.wz\Eqp.img.xml
1012005,青肿,Bruise,equipment,name,String.wz\Eqp.img.xml
1012006,一枝玫瑰,Rose,equipment,name,String.wz\Eqp.img.xml
1012007,白胡子,Santa Beard,equipment,name,String.wz\Eqp.img.xml
1012008,马赛克,Censor,equipment,name,String.wz\Eqp.img.xml
1012009,唇印,Kiss Mark,equipment,name,String.wz\Eqp.img.xml
1012010,大红点,Hinomaru,equipment,name,String.wz\Eqp.img.xml
1012011,圣诞鹿的鼻子,Rudolph&apos;s Red Nose,equipment,name,String.wz\Eqp.img.xml
1012021,白色脸谱,White Kabuki Mask,equipment,name,String.wz\Eqp.img.xml
1012022,红色脸谱,Red Kabuki Mask,equipment,name,String.wz\Eqp.img.xml
1012023,黄色脸谱,Yellow Kabuki Mask,equipment,name,String.wz\Eqp.img.xml
1012024,优雅胡子,Gentleman&apos;s Mustache,equipment,name,String.wz\Eqp.img.xml
1012025,印第安脸饰,War Paint,equipment,name,String.wz\Eqp.img.xml
1012026,关公胡子,Guan Yu Beard,equipment,name,String.wz\Eqp.img.xml
1012027,OK绷,Bandage Strip,equipment,name,String.wz\Eqp.img.xml
1012029,黑白小丑面具,Jester Mask,equipment,name,String.wz\Eqp.img.xml
1012030,眼部疤痕,Eye Scar,equipment,name,String.wz\Eqp.img.xml
1012031,叶子,Leaf,equipment,name,String.wz\Eqp.img.xml
1012032,麦包,White Bread,equipment,name,String.wz\Eqp.img.xml
1012033,脸部彩绘(英国),England Face Painting,equipment,name,String.wz\Eqp.img.xml
1012034,脸部彩绘(法国),Tri-color Paint (France),equipment,name,String.wz\Eqp.img.xml
1012035,脸部彩绘(巴西),Brazillian Paint (Brazil),equipment,name,String.wz\Eqp.img.xml
1012036,脸部彩绘(德国),Bundes Paint (Germany),equipment,name,String.wz\Eqp.img.xml
1012037,脸部彩绘(葡萄牙),Armillary Shield Paint (Portugal),equipment,name,String.wz\Eqp.img.xml
1012038,脸部彩绘(日本),Rising Sun Paint (Japan),equipment,name,String.wz\Eqp.img.xml
1012039,脸部彩绘(韩国),Taegeuk Paint (Korea),equipment,name,String.wz\Eqp.img.xml
1012040,红心标,Heart Face Painting,equipment,name,String.wz\Eqp.img.xml
1012041,脸部彩绘(美国),Star Spangled Paint (USA),equipment,name,String.wz\Eqp.img.xml
1012042,脸部彩绘(墨西哥),Aztec Paint (Mexico),equipment,name,String.wz\Eqp.img.xml
1012043,脸部彩绘(澳大利亚),Australia Face Painting,equipment,name,String.wz\Eqp.img.xml
1012044,木乃伊口罩,Mummy Mask,equipment,name,String.wz\Eqp.img.xml
1012047,伯爵的胡子,Fu Manchu,equipment,name,String.wz\Eqp.img.xml
1012048,邪恶的刀疤,Blackjack Scar,equipment,name,String.wz\Eqp.img.xml
1012049,怪物面具,Ogre Mask,equipment,name,String.wz\Eqp.img.xml
1012050,科学怪人面具,Maple-Stein,equipment,name,String.wz\Eqp.img.xml
1012051,彩色小丑面具,Dark Jester,equipment,name,String.wz\Eqp.img.xml
1012052,忍者卷轴,Tongue Twister Scroll,equipment,name,String.wz\Eqp.img.xml
1012054,绝望,Purple Rage,equipment,name,String.wz\Eqp.img.xml
1012055,晒伤妆,Allergic Reaction,equipment,name,String.wz\Eqp.img.xml
1012056,狗狗鼻,Doggy Mouth,equipment,name,String.wz\Eqp.img.xml
1012057,透明面具,Transparent Face Accessory,equipment,name,String.wz\Eqp.img.xml
1012058,匹诺曹的鼻子,Tree Branch Nose,equipment,name,String.wz\Eqp.img.xml
1012062,淡粉口红,Mild Pink Lipstick,equipment,name,String.wz\Eqp.img.xml
1012063,猫咪妆,Kitty Paint,equipment,name,String.wz\Eqp.img.xml
1012070,草莓雪糕,Strawberry Icecream Bar,equipment,name,String.wz\Eqp.img.xml
1012071,巧克力雪糕,Chocolate Icecream Bar,equipment,name,String.wz\Eqp.img.xml
1012072,甜瓜雪糕,Melon Icecream Bar,equipment,name,String.wz\Eqp.img.xml
1012073,西瓜雪糕,Watermelon Icecream Bar,equipment,name,String.wz\Eqp.img.xml
1012074,吐舌头,Neh neh neh boo boo,equipment,name,String.wz\Eqp.img.xml
1012075,满头大汗,Cold Sweat,equipment,name,String.wz\Eqp.img.xml
1012076,微笑的假面,Smiling Mask,equipment,name,String.wz\Eqp.img.xml
1012077,哭泣的假面,Crying Mask,equipment,name,String.wz\Eqp.img.xml
1012078,生气的假面,Angry Mask,equipment,name,String.wz\Eqp.img.xml
1012079,郁闷的假面,Sad Mask,equipment,name,String.wz\Eqp.img.xml
1012080,香肠嘴,Fat Lips,equipment,name,String.wz\Eqp.img.xml
1012081,假面绅士面具,MV Mask,equipment,name,String.wz\Eqp.img.xml
1012082,红彤彤,Ice Cold Red,equipment,name,String.wz\Eqp.img.xml
1012083,婴儿红,Dollish Pink,equipment,name,String.wz\Eqp.img.xml
1012084,小白鼠面妆,White Mouse Kit,equipment,name,String.wz\Eqp.img.xml
1012085,草莓味口香糖,Cherry Bubblegum,equipment,name,String.wz\Eqp.img.xml
1012090,面膜妆,Facial Powder,equipment,name,String.wz\Eqp.img.xml
1012096,苹果味口香糖,Apple Bubble Gum,equipment,name,String.wz\Eqp.img.xml
1012097,彩带口哨,Purple Noisemaker,equipment,name,String.wz\Eqp.img.xml
1012098,枫叶,Maple Leaf,equipment,name,String.wz\Eqp.img.xml
1012099,蓝色腮红,Facial Powder(blue),equipment,name,String.wz\Eqp.img.xml
1012100,粉色粉扑,Facial Powder(red),equipment,name,String.wz\Eqp.img.xml
1012105,奶嘴,Super Sucker,equipment,name,String.wz\Eqp.img.xml
1012112,脸部彩绘(香港),Bauhinia Paint (Hong Kong),equipment,name,String.wz\Eqp.img.xml
1012113,脸部彩绘(台湾),ROC Paint (Taiwan),equipment,name,String.wz\Eqp.img.xml
1012114,脸部彩绘(中国),5-Starred Red Paint (China),equipment,name,String.wz\Eqp.img.xml
1012121,脸部彩绘(西班牙),Coat of Arms Paint (Spain),equipment,name,String.wz\Eqp.img.xml
1012122,脸部彩绘(瑞典),Gold Nordic Paint (Sweden),equipment,name,String.wz\Eqp.img.xml
1012123,脸部彩绘(荷兰),Holland Paint (Netherlands),equipment,name,String.wz\Eqp.img.xml
1012125,脸部彩绘(泰国),Chakra Paint (Thailand),equipment,name,String.wz\Eqp.img.xml
1012126,脸部彩绘(越南),Yellow Star Paint (Vietnam),equipment,name,String.wz\Eqp.img.xml
1012127,脸部彩绘(新加坡),Crescent Paint (Singapore),equipment,name,String.wz\Eqp.img.xml
1012128,脸部彩绘(马来西亚),Jalur Gemilang Paint (Malaysia),equipment,name,String.wz\Eqp.img.xml
1012129,脸部彩绘(加拿大),Maple Leaf Paint  (Canada),equipment,name,String.wz\Eqp.img.xml
1012132,鸟嘴面饰,Chicky Face Decoration,equipment,name,String.wz\Eqp.img.xml
1012134,泪滴,Tear Drop Face Tattoo,equipment,name,String.wz\Eqp.img.xml
1012137,星之印,Star Face Painting,equipment,name,String.wz\Eqp.img.xml
1012139,金达莱图标,달래 스티커,equipment,name,String.wz\Eqp.img.xml
1012140,迎春花图标,나리 스티커,equipment,name,String.wz\Eqp.img.xml
1012141,四叶草图标,토끼풀 스티커,equipment,name,String.wz\Eqp.img.xml
1012146,玩具红鼻子,장난감 코,equipment,name,String.wz\Eqp.img.xml
1012147,恐吓面具,Immortal Mask,equipment,name,String.wz\Eqp.img.xml
1012165,小丑鼻子,Clown Nose,equipment,name,String.wz\Eqp.img.xml
1012166,不说话面具,Villian Mask,equipment,name,String.wz\Eqp.img.xml
1012180,爱心巧克力,Chocolate Heart,equipment,name,String.wz\Eqp.img.xml
1012181,绿色舞会面具,Green Mardi Gras Mask,equipment,name,String.wz\Eqp.img.xml
1012182,紫色舞会面具,Purple Mardi Gras Mask,equipment,name,String.wz\Eqp.img.xml
1012183,红色舞会面具,Red Mardi Gras Mask,equipment,name,String.wz\Eqp.img.xml
1012184,皇家绿色舞会面具,Royal Green Mardi Gras Mask,equipment,name,String.wz\Eqp.img.xml
1012185,皇家紫色舞会面具,Royal Purple Mardi Gras Mask,equipment,name,String.wz\Eqp.img.xml
1012186,皇家红色舞会面具,Royal Red Mardi Gras Mask,equipment,name,String.wz\Eqp.img.xml
1020000,蓝时尚猫镜,Aqua Toy Shades,equipment,name,String.wz\Eqp.img.xml
1021000,紫时尚猫镜,Pink Toy Shades,equipment,name,String.wz\Eqp.img.xml
1022000,橙色眼镜,Orange Shades,equipment,name,String.wz\Eqp.img.xml
1022001,紫色眼镜,Blue Shades,equipment,name,String.wz\Eqp.img.xml
1022002,黄色眼镜,Yellow Shades,equipment,name,String.wz\Eqp.img.xml
1022003,绿色眼镜,Green Shades,equipment,name,String.wz\Eqp.img.xml
1022004,太阳镜,Black Sunglasses,equipment,name,String.wz\Eqp.img.xml
1022005,红色宽边眼镜,Red Hard-Rimmed Glasses,equipment,name,String.wz\Eqp.img.xml
1022006,蓝色宽边眼镜,Blue Hard-Rimmed Glasses,equipment,name,String.wz\Eqp.img.xml
1022007,绿色宽边眼镜,Green Hard-Rimmed Glasses,equipment,name,String.wz\Eqp.img.xml
1022008,橙色宽边眼镜,Orange Hard-Rimmed Glasses,equipment,name,String.wz\Eqp.img.xml
1022009,神秘太阳镜,Dark Shades,equipment,name,String.wz\Eqp.img.xml
1022010,太极面具,Blue &amp; Red Eye Guard,equipment,name,String.wz\Eqp.img.xml
1022011,红佐罗面具,Red Eye Guard,equipment,name,String.wz\Eqp.img.xml
1022012,蓝佐罗面具,Blue Eye Guard,equipment,name,String.wz\Eqp.img.xml
1022013,黑佐罗面具,Black Eye Guard,equipment,name,String.wz\Eqp.img.xml
1022014,褐色航空墨镜,Brown Aviator Shades,equipment,name,String.wz\Eqp.img.xml
1022015,黑色航空墨镜,Black Aviator Shades,equipment,name,String.wz\Eqp.img.xml
1022016,青色航空墨镜,Blue Aviator Shades,equipment,name,String.wz\Eqp.img.xml
1022017,紫色航空墨镜,Purple Aviator Shades,equipment,name,String.wz\Eqp.img.xml
1022018,蒙面盗,Classic Masquerade Mask,equipment,name,String.wz\Eqp.img.xml
1022019,上班族眼镜,Old-School Glasses,equipment,name,String.wz\Eqp.img.xml
1022020,金属眼镜,Metal Shades,equipment,name,String.wz\Eqp.img.xml
1022021,晕呼呼红色眼镜,Red Head-Spinning Glasses,equipment,name,String.wz\Eqp.img.xml
1022022,晕呼呼绿色眼镜,Blue Head-Spinning Glasses,equipment,name,String.wz\Eqp.img.xml
1022023,隐者眼罩,Crested Eye Patch,equipment,name,String.wz\Eqp.img.xml
1022024,骷髅眼罩,Skull Patch,equipment,name,String.wz\Eqp.img.xml
1022025,爱心眼罩,Red Hearted Eye Patch,equipment,name,String.wz\Eqp.img.xml
1022026,星星眼罩,Purple Starred Eye Patch,equipment,name,String.wz\Eqp.img.xml
1022027,卫生眼罩,Medical Eye Patch,equipment,name,String.wz\Eqp.img.xml
1022028,环形大鼻子眼镜,Spinning Groucho,equipment,name,String.wz\Eqp.img.xml
1022029,环形猪鼻子眼镜,Spinning Piglet,equipment,name,String.wz\Eqp.img.xml
1022030,黑叶式猫镜,Hot Teacher Glasses,equipment,name,String.wz\Eqp.img.xml
1022031,白时尚猫镜,White Toy Shades,equipment,name,String.wz\Eqp.img.xml
1022032,黄时尚猫镜,Yellow Toy Shades,equipment,name,String.wz\Eqp.img.xml
1022033,老花镜,Politician Glasses,equipment,name,String.wz\Eqp.img.xml
1022034,博士镜,Bizarre Monocle,equipment,name,String.wz\Eqp.img.xml
1022035,橙色运动镜,Orange Sports Goggle,equipment,name,String.wz\Eqp.img.xml
1022036,绿色运动镜,Green Sports Goggle,equipment,name,String.wz\Eqp.img.xml
1022037,无框方镜,Frameless Glasses,equipment,name,String.wz\Eqp.img.xml
1022038,紫色哈里眼镜,Purple Round Shades,equipment,name,String.wz\Eqp.img.xml
1022039,橙色哈里眼镜,Orange Round Shades,equipment,name,String.wz\Eqp.img.xml
1022040,绅士镜,Lead Monocle,equipment,name,String.wz\Eqp.img.xml
1022041,蛤蟆镜,Cyclist Shades,equipment,name,String.wz\Eqp.img.xml
1022042,太空镜,Scouter,equipment,name,String.wz\Eqp.img.xml
1022043,绷带,Head Bandage,equipment,name,String.wz\Eqp.img.xml
1022044,模范生眼镜,Nerdy Glasses,equipment,name,String.wz\Eqp.img.xml
1022045,红色眼罩,Red Bushido Bandana,equipment,name,String.wz\Eqp.img.xml
1022046,蝴蝶假面,Butterfly Ball Mask,equipment,name,String.wz\Eqp.img.xml
1022047,猫头鹰,Owl Ball Mask,equipment,name,String.wz\Eqp.img.xml
1022049,碧绿眼镜,Green Hard-rimmed Glasses,equipment,name,String.wz\Eqp.img.xml
1022050,黑复古眼镜,Vintage Glasses,equipment,name,String.wz\Eqp.img.xml
1022051,红复古眼镜,Red Half-Rimless Glasses,equipment,name,String.wz\Eqp.img.xml
1022052,激光镜,Future Vision Shades,equipment,name,String.wz\Eqp.img.xml
1022053,心心眼镜,Futuristic Shades,equipment,name,String.wz\Eqp.img.xml
1022054,黑客帝国超绚眼镜,Round Shield Shades,equipment,name,String.wz\Eqp.img.xml
1022055,时尚粗框眼镜,Pink Sunglasses,equipment,name,String.wz\Eqp.img.xml
1022056,时尚名流眼镜,Pink Aviator Sunglasses,equipment,name,String.wz\Eqp.img.xml
1022057,POP眼镜,Pop-Eye,equipment,name,String.wz\Eqp.img.xml
1022058,狸猫,Raccoon Mask,equipment,name,String.wz\Eqp.img.xml
1022059,经典黑墨镜,Black Shades,equipment,name,String.wz\Eqp.img.xml
1022060,狐猴,White Raccoon Mask,equipment,name,String.wz\Eqp.img.xml
1022061,血染海盗眼罩,Redbeard&apos;s Pirate Eye Patch,equipment,name,String.wz\Eqp.img.xml
1022062,骷髅海盗眼罩,Black Skull Eye Patch,equipment,name,String.wz\Eqp.img.xml
1022063,无框小圆眼镜,Flat Mini Glasses,equipment,name,String.wz\Eqp.img.xml
1022064,时尚大太阳镜,Big Red Glasses,equipment,name,String.wz\Eqp.img.xml
1022065,花蘑菇博士镜,Alphabet Glasses,equipment,name,String.wz\Eqp.img.xml
1022066,蓝海星眼镜,Star Spectacles,equipment,name,String.wz\Eqp.img.xml
1022068,百叶窗眼镜,White Shade,equipment,name,String.wz\Eqp.img.xml
1022069,橘黄百叶窗,Orange Shutter Shades,equipment,name,String.wz\Eqp.img.xml
1022070,绿油油百叶窗,Green Shutter Shades,equipment,name,String.wz\Eqp.img.xml
1022071,玫瑰红百叶窗,Red Shutter Shades,equipment,name,String.wz\Eqp.img.xml
1022072,黄色百叶窗,Yellow Shutter Shades,equipment,name,String.wz\Eqp.img.xml
1022073,划痕眼镜,Broken Glasses,equipment,name,String.wz\Eqp.img.xml
1022074,佳佳眼镜,Gaga Glasses,equipment,name,String.wz\Eqp.img.xml
1022075,糖果眼镜,Twinkling Eyes,equipment,name,String.wz\Eqp.img.xml
1022079,透明眼镜,Clear Glasses,equipment,name,String.wz\Eqp.img.xml
1022081,琳的碎裂眼镜,Cracked Glasses,equipment,name,String.wz\Eqp.img.xml
1022083,我最IN－墨镜,Hitman Sunglasses,equipment,name,String.wz\Eqp.img.xml
1022084,睡眠眼罩(红色),Eye Mask (Red),equipment,name,String.wz\Eqp.img.xml
1022085,睡眠眼罩(粉色),Eye Mask (Pink),equipment,name,String.wz\Eqp.img.xml
1022086,睡眠眼罩(蓝色),Eye Mask (Blue),equipment,name,String.wz\Eqp.img.xml
1022087,睡眠眼罩(绿色),Eye Mask (Green),equipment,name,String.wz\Eqp.img.xml
1022088,考古学家眼镜1,Archaeologist Glasses,equipment,name,String.wz\Eqp.img.xml
1022089,进入遗物大会Top10后可以获得的考古\n学家眼镜,A pair of Archaeologist Glasses received for finishing Top 10 in the Artifact Hunt.,equipment,desc,String.wz\Eqp.img.xml
1022095,见钱眼开,I Like Money,equipment,name,String.wz\Eqp.img.xml
1022102,LED炫光眼镜,LED Sunglasses,equipment,name,String.wz\Eqp.img.xml
1022103,作为遗物大会活动参与奖奖品的考古学\n家眼镜,A pair of Archaeologist Glasses received for participating in the Artifact Hunt.,equipment,desc,String.wz\Eqp.img.xml
1022104,3D炫彩眼镜,3D Glasses,equipment,name,String.wz\Eqp.img.xml
1032000,锤耳环,Weighted Earrings,equipment,name,String.wz\Eqp.img.xml
1032001,单边银色耳环,Single Earring,equipment,name,String.wz\Eqp.img.xml
1032002,蓝宝石耳环,Sapphire Earrings,equipment,name,String.wz\Eqp.img.xml
1032003,紫水晶耳环,Amethyst Earrings,equipment,name,String.wz\Eqp.img.xml
1032004,金耳环,Gold Earrings,equipment,name,String.wz\Eqp.img.xml
1032005,红十字耳环,Red Cross Earrings,equipment,name,String.wz\Eqp.img.xml
1032006,雷电耳环,Lightning Earrings,equipment,name,String.wz\Eqp.img.xml
1032007,祖母绿耳环,Emerald Earrings,equipment,name,String.wz\Eqp.img.xml
1032008,猫眼耳环,Cat&apos;s Eye,equipment,name,String.wz\Eqp.img.xml
1032009,黄方耳环,Yellow Square,equipment,name,String.wz\Eqp.img.xml
1032010,黄星耳环,Star Earrings,equipment,name,String.wz\Eqp.img.xml
1032011,青月耳环,Blue Moon,equipment,name,String.wz\Eqp.img.xml
1032012,骷髅耳环,Skull Earrings,equipment,name,String.wz\Eqp.img.xml
1032013,爱心耳环,Red-Hearted Earrings,equipment,name,String.wz\Eqp.img.xml
1032014,梅花耳环,Pink-Flowered Earrings,equipment,name,String.wz\Eqp.img.xml
1032015,银制耳环,Metal Silver Earrings,equipment,name,String.wz\Eqp.img.xml
1032016,金属心型耳环,Metal Heart Earrings,equipment,name,String.wz\Eqp.img.xml
1032017,玫瑰耳环,Rose Earrings,equipment,name,String.wz\Eqp.img.xml
1032018,紫荆花耳环,Pansy Earrings,equipment,name,String.wz\Eqp.img.xml
1032019,水仙耳环,Crystal Flower Earrings,equipment,name,String.wz\Eqp.img.xml
1032020,黄金耳环,Gold Drop Earrings,equipment,name,String.wz\Eqp.img.xml
1032021,圣十字耳环,Holy Cross Earrings,equipment,name,String.wz\Eqp.img.xml
1032022,赤色圆型耳环,Half Earrings,equipment,name,String.wz\Eqp.img.xml
1032023,草莓耳环,Strawberry Earrings,equipment,name,String.wz\Eqp.img.xml
1032024,透明耳环,Transparent Earrings,equipment,name,String.wz\Eqp.img.xml
1032025,叶子耳环,Leaf Earrings,equipment,name,String.wz\Eqp.img.xml
1032026,黄水晶耳环,Gold Emerald Earrings,equipment,name,String.wz\Eqp.img.xml
1032027,黑水晶耳环,Black Emerald Earrings,equipment,name,String.wz\Eqp.img.xml
1032028,红水晶耳环,Red Emerald Earrings,equipment,name,String.wz\Eqp.img.xml
1032029,925银耳环,Silver Earrings,equipment,name,String.wz\Eqp.img.xml
1032030,勇气耳环,Sword Earrings,equipment,name,String.wz\Eqp.img.xml
1032031,永恒金盾坠,Timeless Earrings,equipment,name,String.wz\Eqp.img.xml
1032032,秋叶耳环,Fallen Leaf Earrings,equipment,name,String.wz\Eqp.img.xml
1032033,守护石耳环,Protector Rock,equipment,name,String.wz\Eqp.img.xml
1032034,可乐耳环,Coke Earring,equipment,name,String.wz\Eqp.img.xml
1032036,十字耳环,Beaded Cross Earring,equipment,name,String.wz\Eqp.img.xml
1032038,雪花耳钉,Snow Earring,equipment,name,String.wz\Eqp.img.xml
1032039,暗月耳环,Eclipse Earrings,equipment,name,String.wz\Eqp.img.xml
1032040,枫叶型耳环,Maple Earring,equipment,name,String.wz\Eqp.img.xml
1032043,塞西莉亚的耳环,Cecelia&apos;s Earrings,equipment,name,String.wz\Eqp.img.xml
1032044,月星耳环,Moonstar Earrings,equipment,name,String.wz\Eqp.img.xml
1032045,天国耳环,Celestial Earrings,equipment,name,String.wz\Eqp.img.xml
1032046,毒蜘蛛耳环,Spider Venom Earrings,equipment,name,String.wz\Eqp.img.xml
1032048,水晶叶耳环,Crystal Leaf Earrings,equipment,name,String.wz\Eqp.img.xml
1032049,黑暗耳环,Dark Shards,equipment,name,String.wz\Eqp.img.xml
1032050,蜗牛眼耳环,Snail&apos;s Eye,equipment,name,String.wz\Eqp.img.xml
1032051,钻石耳钉,Diamond Earrings,equipment,name,String.wz\Eqp.img.xml
1032052,绿水灵耳钉,Slime Earrings,equipment,name,String.wz\Eqp.img.xml
1032053,四叶草耳环,Clover Earrings,equipment,name,String.wz\Eqp.img.xml
1032054,彩虹耳环,Rainbow Earrings,equipment,name,String.wz\Eqp.img.xml
1032055,工作人员C的旧收信机,Agent C&apos;s Old Receiver,equipment,name,String.wz\Eqp.img.xml
1032058,工作人员C钛质收信机,Agent C&apos;s Titanium Receiver,equipment,name,String.wz\Eqp.img.xml
1032059,零度可乐耳环,Coca-Cola Zero Earrings,equipment,name,String.wz\Eqp.img.xml
